Gene ID	Associated Gene Name	Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000081348	Gm13878	2	103810886	103811617	-1
ENSMUSG00000086892	4933430M04Rik	11	24481909	24569952	1
ENSMUSG00000110898	RP24-275P22.3	10	44902558	44943294	-1
ENSMUSG00000081010	Gm13880	2	103819003	103819476	-1
ENSMUSG00000091045	Vmn2r55	7	12651706	12684991	-1
ENSMUSG00000008892	Vdac3	8	22577075	22593813	-1
ENSMUSG00000107852	Gm6227	6	117472998	117473418	-1
ENSMUSG00000082173	Mup-ps10	4	61243577	61246293	1
ENSMUSG00000037426	Depdc5	5	32863701	32994236	1
ENSMUSG00000041789	2700046A07Rik	18	62751674	62756347	-1
ENSMUSG00000110964	RP24-84H10.9	9	38937489	38940102	-1
ENSMUSG00000080743	Gm7150	X	153403090	153404070	-1
ENSMUSG00000108020	Gm43983	6	117495235	117500077	1
ENSMUSG00000084901	Gm13266	2	14512591	14542811	1
ENSMUSG00000085032	Gm11217	4	64254053	64276603	-1
ENSMUSG00000086148	Gm15271	10	24447490	24452657	1
ENSMUSG00000083752	Gm12014	11	17017852	17022080	1
ENSMUSG00000039097	Rln1	19	29331170	29334670	-1
ENSMUSG00000025027	Xpnpep1	19	52943417	53040214	-1
ENSMUSG00000104675	Gm43689	3	137918019	137918445	-1
ENSMUSG00000106666	Gm43587	3	112766809	112767012	-1
ENSMUSG00000108323	Gm44945	7	43946249	43948893	-1
ENSMUSG00000031574	Star	8	25806555	25815982	1
ENSMUSG00000108651	Klk1b2-ps	7	43958822	43962948	1
ENSMUSG00000109170	Gm45086	7	48724380	48726822	-1
ENSMUSG00000063089	Klk1b8	7	43950664	43954941	1
ENSMUSG00000094399	Gm21477	Y	87116821	87142917	1
ENSMUSG00000103038	Gm37124	1	137924388	137926379	1
ENSMUSG00000105588	Utp14b-ps1	3	113019875	113022139	1
ENSMUSG00000007827	Ankrd26	6	118501308	118562226	-1
ENSMUSG00000104197	Gm37632	1	137971174	137972315	1
ENSMUSG00000031388	Naa10	X	73916873	73921944	-1
ENSMUSG00000103427	Gm37534	1	137949422	137954643	1
ENSMUSG00000098206	A430106G13Rik	1	137966531	137969918	1
ENSMUSG00000021032	Ngb	12	87097531	87102539	-1
ENSMUSG00000032118	Fez1	9	36821864	36878924	1
ENSMUSG00000026353	Ubxn4	1	128243964	128279378	1
ENSMUSG00000060161	Klk1b7-ps	7	43942662	43945927	1
ENSMUSG00000028646	Rragc	4	123917446	123936997	1
ENSMUSG00000104145	D130019J16Rik	1	137935189	137937346	1
ENSMUSG00000074259	Gramd2	9	59680144	59718874	1
ENSMUSG00000107863	Gm44389	6	60461933	60462114	-1
ENSMUSG00000000753	Serpinf1	11	75409769	75422701	-1
ENSMUSG00000108746	Gm45198	7	43972252	43974288	-1
ENSMUSG00000098045	Gm26979	1	137917690	137921312	-1
ENSMUSG00000101194	Gm29149	Y	78471258	78471953	-1
ENSMUSG00000055193	Klk15	7	43933740	43939639	1
ENSMUSG00000102142	Gm26930	1	137932041	137933284	1
ENSMUSG00000070880	Gad1	2	70553072	70602014	1
ENSMUSG00000098145	Gm26936	1	137928389	137969240	-1
ENSMUSG00000085094	Gm15692	16	78964114	78964465	1
ENSMUSG00000098243	Gm4258	1	137898595	138000384	1
ENSMUSG00000048814	Lonrf2	1	38793645	38836711	-1
ENSMUSG00000028713	Cyp4b1	4	115624725	115647723	-1
ENSMUSG00000102277	A130050O07Rik	1	137927251	137930273	1
ENSMUSG00000031780	Ccl17	8	94810453	94812036	1
ENSMUSG00000110243	Gm45631	7	7295766	7297137	1
ENSMUSG00000059042	Klk1b9	7	43976061	43980376	1
ENSMUSG00000104118	Gm37298	1	137909291	137913158	1
ENSMUSG00000091091	Kcnmb3	3	32471588	32492231	-1
ENSMUSG00000111529	RP23-424C4.7	9	15321605	15322316	1
ENSMUSG00000089702	Gm16568	9	15330573	15335345	1
ENSMUSG00000080869	Gm11856	4	15486366	15486790	1
ENSMUSG00000105257	Gm43144	5	96940297	96940781	1
ENSMUSG00000078796	Zfp541	7	16061814	16096334	1
ENSMUSG00000081205	Gm5940	X	80456742	80457809	1
ENSMUSG00000095168	Gm4795	10	45006110	45007117	1
ENSMUSG00000021866	Anxa11	14	25842156	25886804	1
ENSMUSG00000104679	Igkv4-60	6	69463194	69463725	-1
ENSMUSG00000105006	Gm9484	5	96996206	96997364	-1
ENSMUSG00000082515	Gm12902	4	123926234	123926555	1
ENSMUSG00000063133	Klk1b1	7	43966751	43971318	1
ENSMUSG00000110891	RP23-199N18.2	10	45024302	45028152	1
ENSMUSG00000031492	Chrnb3	8	27368711	27399730	1
ENSMUSG00000022965	Ifngr2	16	91547072	91565169	1
ENSMUSG00000108192	Gm44410	6	60489956	60490445	1
ENSMUSG00000108432	Gm44756	7	43938057	43976573	-1
ENSMUSG00000086962	Gm12248	11	58063828	58072937	-1
ENSMUSG00000083196	Gm15272	10	24514279	24514511	-1
ENSMUSG00000108003	Gm35386	6	60586778	60591189	1
ENSMUSG00000057003	Myh4	11	67238029	67260446	1
ENSMUSG00000024222	Fkbp5	17	28399095	28517524	-1
ENSMUSG00000095534	Gm15102	X	150013712	150015213	1
ENSMUSG00000021099	Six6	12	72939892	72944899	1
ENSMUSG00000105920	Gm5408	14	52774869	52775615	1
ENSMUSG00000111541	RP24-292O2.2	9	39821705	39821803	1
ENSMUSG00000035572	Dcaf10	4	45342101	45379759	1
ENSMUSG00000063800	Prpf38a	4	108563172	108579336	-1
ENSMUSG00000103799	Gm38093	1	185744803	185757772	1
ENSMUSG00000087470	A630031M04Rik	4	127545101	127570502	1
ENSMUSG00000050148	Ubqln2	X	153498227	153501570	1
ENSMUSG00000082491	Gm5909	8	80110806	80112086	-1
ENSMUSG00000102546	Gm9722	1	185878084	185878885	-1
ENSMUSG00000049421	Zfp260	7	30094777	30107622	1
ENSMUSG00000109593	Gm45431	8	80128194	80138667	-1
ENSMUSG00000076770	Trav8d-1	14	52778447	52778995	1
ENSMUSG00000021098	4930447C04Rik	12	72881109	72940774	-1
ENSMUSG00000025889	Snca	6	60731575	60829855	-1
ENSMUSG00000061992	Gm4953	1	159168160	159168642	-1
ENSMUSG00000083330	Gm11859	4	15531657	15532111	-1
ENSMUSG00000055725	Paqr3	5	97082329	97111596	-1
ENSMUSG00000001436	Slc19a1	10	77032241	77061002	1
ENSMUSG00000083367	Gm8806	X	80533745	80535151	-1
ENSMUSG00000037300	Ttc13	8	124671333	124721983	-1
ENSMUSG00000058833	2810428I15Rik	8	70504292	70506752	-1
ENSMUSG00000098609	Anxa11os	14	25856777	25870266	-1
ENSMUSG00000038195	Rilp	11	75510094	75513168	1
ENSMUSG00000020743	Mif4gd	11	115607918	115612969	-1
ENSMUSG00000108861	5930435M05Rik	7	83178570	83201586	-1
ENSMUSG00000031216	Stard8	X	99003248	99074728	1
ENSMUSG00000053528	A530021J07Rik	7	83061783	83179429	1
ENSMUSG00000111547	RP23-99O13.6	9	20606133	20607616	-1
ENSMUSG00000062470	Fbxl12os	9	20607458	20617271	1
ENSMUSG00000046897	Zfp740	15	102203648	102215606	1
ENSMUSG00000109458	Gm44889	7	68384779	68392029	1
ENSMUSG00000108168	Gm43864	6	60791840	60795867	-1
ENSMUSG00000107755	Mageb16-ps2	6	60769967	60771059	-1
ENSMUSG00000071149	Tas2r115	6	132737003	132738035	-1
ENSMUSG00000087510	1700112K13Rik	4	127810638	127812173	-1
ENSMUSG00000040747	Cd53	3	106759921	106790149	-1
ENSMUSG00000005609	Ctr9	7	111028951	111056377	1
ENSMUSG00000083932	Gm11438	11	83681538	83681726	-1
ENSMUSG00000036636	Clcn7	17	25133391	25162104	1
ENSMUSG00000028322	Exosc3	4	45316613	45342732	-1
ENSMUSG00000107669	Gm44137	6	132746272	132746638	-1
ENSMUSG00000093934	Olfr971	9	39836876	39841281	1
ENSMUSG00000028938	Galntl5	5	25181460	25220297	1
ENSMUSG00000085269	Gm15777	5	100670859	100678105	1
ENSMUSG00000060412	Tas2r124	6	132754730	132755659	1
ENSMUSG00000080799	Gm15166	X	153509012	153509396	-1
ENSMUSG00000089762	Ier5l	2	30471537	30474219	-1
ENSMUSG00000063698	Sfxn4	19	60837277	60861479	-1
ENSMUSG00000029319	Coq2	5	100654723	100675140	-1
ENSMUSG00000104591	Gm43145	5	97046181	97046808	1
ENSMUSG00000081449	Gm11432	11	83687610	83688456	1
ENSMUSG00000034663	Bmp2k	5	96997689	97091867	1
ENSMUSG00000096478	Trav9d-1	14	52792316	52792777	1
ENSMUSG00000110792	Olfr931-ps1	9	38945167	38945715	-1
ENSMUSG00000107888	Gm44138	6	132760705	132760975	1
ENSMUSG00000045952	Gm5548	3	113053889	113054285	-1
ENSMUSG00000087145	Gm12665	11	24903983	24926058	-1
ENSMUSG00000080927	Gm11430	11	83695275	83696185	1
ENSMUSG00000015804	Med28	5	45520229	45529276	1
ENSMUSG00000036960	Clca2	3	145070263	145099443	-1
ENSMUSG00000095426	Trav6d-5	14	52795165	52795633	1
ENSMUSG00000095978	Mup-ps11	4	61318730	61325417	1
ENSMUSG00000056901	Tas2r102	6	132762131	132763174	1
ENSMUSG00000086515	Erich2os	2	70503433	70509199	-1
ENSMUSG00000017485	Top2b	14	16365179	16430787	1
ENSMUSG00000078675	Mup16	4	61515592	61519531	-1
ENSMUSG00000087264	Gad1os	2	70489940	70563357	-1
ENSMUSG00000083163	Gm11429	11	83701291	83701434	1
ENSMUSG00000110294	Gm45430	8	80195199	80197656	1
ENSMUSG00000048573	Cypt3	X	153558593	153559429	1
ENSMUSG00000099486	Olfr1228	2	89247964	89254062	-1
ENSMUSG00000083541	Gm12585	4	45338745	45339034	-1
ENSMUSG00000075302	Erich2	2	70508819	70540884	1
ENSMUSG00000030431	Tmem238	7	4784557	4789656	-1
ENSMUSG00000029267	Mtf2	5	108065674	108109004	1
ENSMUSG00000084862	Gm16278	17	25919089	25935745	1
ENSMUSG00000036323	Srp72	5	76974683	76999937	1
ENSMUSG00000057580	Gm10012	17	25901856	25902227	1
ENSMUSG00000091425	Gm17118	9	107443950	107445031	-1
ENSMUSG00000063109	Dgkeos	11	89064729	89069098	1
ENSMUSG00000054659	Pm20d2	4	33174230	33189737	-1
ENSMUSG00000091816	Gm17141	9	107423857	107430567	-1
ENSMUSG00000005320	Fgfr4	13	55152640	55168759	1
ENSMUSG00000070034	Sp110	1	85576899	85598817	-1
ENSMUSG00000082673	Gm11857	4	15636169	15636492	1
ENSMUSG00000025730	Rab40c	17	25882114	25919727	-1
ENSMUSG00000103395	Ighv1-27	12	114804616	114805041	-1
ENSMUSG00000096674	Mup15	4	61435790	61439743	-1
ENSMUSG00000108924	4933436H12Rik	7	68417402	68427362	1
ENSMUSG00000033910	Gucy1a3	3	82092427	82145789	-1
ENSMUSG00000110249	9330121K16Rik	8	55073249	55077134	1
ENSMUSG00000075095	Olfr1229	2	89280476	89288014	-1
ENSMUSG00000095633	Igkv4-58	6	69500254	69500786	-1
ENSMUSG00000000276	Dgke	11	89035179	89066850	-1
ENSMUSG00000102315	Ighv1-28	12	114809421	114809854	-1
ENSMUSG00000081223	Gm12247	11	58097104	58097773	-1
ENSMUSG00000086041	Gm12869	4	107349039	107351353	-1
ENSMUSG00000099742	Gm29148	Y	78545906	78546241	-1
ENSMUSG00000073835	Mup-ps12	4	61452244	61454952	1
ENSMUSG00000086053	Gm15178	1	75392131	75396363	-1
ENSMUSG00000057375	Yipf1	4	107314363	107359823	1
ENSMUSG00000104551	Igkv13-57-2	6	69523554	69524016	1
ENSMUSG00000100999	Gm29145	Y	78573401	78573856	-1
ENSMUSG00000027257	Pacsin3	2	91255954	91264679	1
ENSMUSG00000109736	Gm8734	8	55080404	55081715	-1
ENSMUSG00000096688	Mup17	4	61591929	61595871	-1
ENSMUSG00000100487	1700072B07Rik	9	58370504	58374183	1
ENSMUSG00000106743	Gm42847	5	33990510	33993062	-1
ENSMUSG00000101562	Gm29144	Y	78609396	78609734	-1
ENSMUSG00000024083	Pja2	17	64281005	64331916	-1
ENSMUSG00000110025	Gm20586	8	55532291	55532837	1
ENSMUSG00000046756	Mrps7	11	115603925	115608036	1
ENSMUSG00000075094	Olfr1230	2	89296351	89297268	-1
ENSMUSG00000076555	Igkv4-57-1	6	69544359	69544907	-1
ENSMUSG00000009647	Mcu	10	59446984	59616692	-1
ENSMUSG00000102512	Ighv1-29	12	114812321	114812745	-1
ENSMUSG00000001435	Col18a1	10	77052178	77166548	-1
ENSMUSG00000057290	Gm15732	5	37404384	37404863	-1
ENSMUSG00000031535	Dkk4	8	22624043	22627547	1
ENSMUSG00000059461	Gm7331	X	162566857	162567243	1
ENSMUSG00000051839	Gypa	8	80493781	80510542	1
ENSMUSG00000110064	Gm18320	8	55659353	55659947	1
ENSMUSG00000050248	Evc2	5	37338499	37425055	1
ENSMUSG00000048142	Nat8l	5	33995984	34005916	1
ENSMUSG00000105369	Igkv13-57-1	6	69569737	69570159	1
ENSMUSG00000095532	Mup-ps13	4	61534230	61536973	1
ENSMUSG00000040855	Reps2	X	162411954	162643649	-1
ENSMUSG00000109943	Gm45610	8	55777199	55777982	1
ENSMUSG00000075093	Olfr1231	2	89299786	89307114	-1
ENSMUSG00000087425	Gm15404	17	91557127	91591927	1
ENSMUSG00000081412	Gm15403	17	91667079	91668305	1
ENSMUSG00000073830	Mup14	4	61300023	61304000	-1
ENSMUSG00000104076	Gm37026	2	70523042	70523767	-1
ENSMUSG00000097891	Gm3650	18	43472816	43475169	1
ENSMUSG00000010066	Cacna2d2	9	107399612	107529343	1
ENSMUSG00000102281	Ighv1-30	12	114817099	114817526	-1
ENSMUSG00000098122	Gm27039	17	92527273	92528510	-1
ENSMUSG00000019849	Prep	10	45067203	45167198	1
ENSMUSG00000075092	Olfr1232	2	89324989	89329675	-1
ENSMUSG00000024393	Prrc2a	17	35149076	35164897	-1
ENSMUSG00000037270	4932438A13Rik	3	36863104	37053033	1
ENSMUSG00000104169	Gm7430	1	159209135	159211141	-1
ENSMUSG00000086439	Gm12069	11	25301263	25322786	1
ENSMUSG00000071644	Eef1g	19	8967041	8978479	1
ENSMUSG00000067156	Gm7337	5	87850359	87853013	1
ENSMUSG00000075091	Olfr1233	2	89335944	89342398	-1
ENSMUSG00000033015	4933427E13Rik	11	25232626	25367137	1
ENSMUSG00000048388	Fam171b	2	83812636	83883486	1
ENSMUSG00000105665	Gm38395	3	113055796	113056625	-1
ENSMUSG00000109298	Gm44886	7	68439373	68441722	1
ENSMUSG00000104038	Gm37771	3	59483024	59483288	1
ENSMUSG00000054488	Gm9946	6	117559697	117572329	1
ENSMUSG00000085275	Gm14487	2	30534729	30539022	1
ENSMUSG00000108828	Gm44885	7	68429215	68490892	1
ENSMUSG00000081827	Gm15103	X	150032993	150034051	1
ENSMUSG00000028813	CK137956	4	127927592	127970951	-1
ENSMUSG00000103598	Gm4856	3	59505581	59535226	-1
ENSMUSG00000087217	Gm13209	4	148584721	148586007	-1
ENSMUSG00000040481	Bptf	11	107033081	107132127	-1
ENSMUSG00000111662	RP23-158E1.3	9	55938252	55952409	1
ENSMUSG00000081467	Gm13337	2	22067826	22069419	1
ENSMUSG00000028777	Gnat3	5	17962549	18019834	1
ENSMUSG00000060860	Ube2s	7	4794546	4812590	-1
ENSMUSG00000110849	Olfr1545-ps1	9	38945914	38949211	1
ENSMUSG00000071192	Wfikkn1	17	25877630	25880305	-1
ENSMUSG00000075090	Olfr1234	2	89360013	89364865	-1
ENSMUSG00000081941	Gm11218	4	64856926	64858139	-1
ENSMUSG00000081259	Gm6893	10	24567077	24568134	-1
ENSMUSG00000087400	Gm15270	10	24549441	24597108	-1
ENSMUSG00000109335	Gm44845	7	83234541	83234875	1
ENSMUSG00000083079	Amy2b	3	113147656	113156727	-1
ENSMUSG00000107785	Gm45083	6	117578715	117612570	-1
ENSMUSG00000109506	Gm44724	7	83327738	83369429	-1
ENSMUSG00000024581	Napg	18	62977836	62999450	1
ENSMUSG00000028436	Dcaf12	4	41291300	41314889	-1
ENSMUSG00000084295	Olfr1235-ps1	2	89384882	89390230	-1
ENSMUSG00000106564	Gm8969	3	89820998	89821523	1
ENSMUSG00000090188	Gm7418	8	94835717	94836517	1
ENSMUSG00000080805	Gm11219	4	65011230	65011587	1
ENSMUSG00000019997	Ctgf	10	24595442	24598683	1
ENSMUSG00000047363	Cstad	2	30595040	30608943	1
ENSMUSG00000109013	Gm44723	7	83379142	83383141	-1
ENSMUSG00000009555	Cdk9	2	32705784	32713076	-1
ENSMUSG00000025728	Pigq	17	25926421	25944510	-1
ENSMUSG00000031781	Ciapin1	8	94819804	94838358	-1
ENSMUSG00000111302	Olfr1236-ps1	2	89399831	89402363	-1
ENSMUSG00000054434	Tmem120b	5	123068415	123117749	1
ENSMUSG00000111517	Olfr1238	2	89401991	89409676	-1
ENSMUSG00000108831	Gm7957	7	83411977	83414578	1
ENSMUSG00000094449	Olfr972	9	39866422	39874651	1
ENSMUSG00000103056	Gm38268	1	186112181	186112373	-1
ENSMUSG00000030432	Rpl28	7	4792874	4795066	1
ENSMUSG00000097651	4930461G14Rik	9	58455122	58469635	1
ENSMUSG00000039246	Lyplal1	1	186087731	186117310	-1
ENSMUSG00000058515	Olfr933	9	38972313	38979861	1
ENSMUSG00000082279	Gm12870	4	107327484	107328499	-1
ENSMUSG00000110463	RP23-187D7.1	8	19594900	19665322	-1
ENSMUSG00000109042	Gm44991	7	83471708	83485474	1
ENSMUSG00000047696	Ccdc144b	3	36007244	36053547	-1
ENSMUSG00000100328	Gm28816	Y	78651259	78654053	1
ENSMUSG00000082007	Gm15206	X	162576618	162577071	-1
ENSMUSG00000053217	Tas2r136	6	132777179	132778162	-1
ENSMUSG00000101321	Gm28817	Y	78632526	78657490	-1
ENSMUSG00000046317	BC107364	3	96433788	96452306	-1
ENSMUSG00000085012	Gm15492	6	113308666	113326747	-1
ENSMUSG00000031391	L1cam	X	73853778	73896105	-1
ENSMUSG00000066607	6030419C18Rik	9	58488603	58499780	1
ENSMUSG00000086912	4930505O20Rik	8	80511842	80514473	-1
ENSMUSG00000107592	Tas2r145-ps3	6	132786736	132787727	1
ENSMUSG00000094841	Gm10610	7	83536192	83550258	-1
ENSMUSG00000102425	Gm26616	1	133128676	133131782	-1
ENSMUSG00000094792	Trav10d	14	52810934	52811496	1
ENSMUSG00000006442	Srm	4	148591503	148594993	1
ENSMUSG00000037358	4930578C19Rik	X	18414881	18461397	-1
ENSMUSG00000046062	Ppp1r15b	1	133131143	133139783	1
ENSMUSG00000083887	Gm11930	4	33201764	33201953	1
ENSMUSG00000086392	Mccc1os	3	35999833	36025106	1
ENSMUSG00000043424	Eif3j2	18	43475418	43477796	-1
ENSMUSG00000069792	Wfdc17	11	83703991	83706268	1
ENSMUSG00000083488	Gm8534	X	153656606	153657371	1
ENSMUSG00000080994	Gm13464	2	43518464	43519398	-1
ENSMUSG00000053367	Gm6792	7	6252710	6282066	1
ENSMUSG00000099869	1700030F04Rik	6	117646693	117751769	-1
ENSMUSG00000001632	Brpf1	6	113307137	113324860	1
ENSMUSG00000102790	Gm37272	1	186182257	186182744	1
ENSMUSG00000031697	Orc6	8	85299632	85308278	1
ENSMUSG00000103449	Gm37134	1	186177338	186223789	1
ENSMUSG00000023940	Sgol1	17	53674786	53689333	-1
ENSMUSG00000104642	Gm9207	3	96454835	96455949	-1
ENSMUSG00000011877	Git1	11	77493562	77507786	1
ENSMUSG00000081506	Amy2-ps1	3	113182249	113206697	-1
ENSMUSG00000106096	B230207O21Rik	3	35973771	35974091	1
ENSMUSG00000106641	Gm43534	3	96464072	96466924	-1
ENSMUSG00000105556	Gm43080	3	35969384	35972026	-1
ENSMUSG00000030225	Dera	6	137754546	137857340	1
ENSMUSG00000058349	Tas2r117	6	132802818	132803975	1
ENSMUSG00000104222	Gm7292	6	117716342	117718868	1
ENSMUSG00000106429	Gm10685	3	96458209	96470656	1
ENSMUSG00000086405	9330198N18Rik	2	30629655	30689210	1
ENSMUSG00000108250	Tas2r111-ps2	6	132820318	132821218	1
ENSMUSG00000027708	Dcun1d1	3	35892105	35937445	-1
ENSMUSG00000092240	Gm4246	17	36194596	36194811	-1
ENSMUSG00000087268	Gm14486	2	30658468	30678011	-1
ENSMUSG00000053687	Dpep2	8	105984944	105996423	-1
ENSMUSG00000107683	Gm44139	6	132824866	132825238	-1
ENSMUSG00000092306	Gm20447	17	36197570	36198513	-1
ENSMUSG00000038403	Hfe2	3	96525172	96529210	1
ENSMUSG00000092457	Gm8835	17	36201996	36206339	-1
ENSMUSG00000075410	Gm11744	11	116653534	116668389	1
ENSMUSG00000046280	She	3	89831370	89858834	1
ENSMUSG00000027977	Ndst3	3	123526166	123690853	-1
ENSMUSG00000100215	Gm8292	1	55335401	55335796	1
ENSMUSG00000029847	Slc23a4	6	34945278	34988404	-1
ENSMUSG00000035112	Wnk4	11	101260567	101277409	1
ENSMUSG00000020431	Adcy1	11	7063489	7178506	1
ENSMUSG00000025977	Boll	1	55248658	55363469	-1
ENSMUSG00000026387	Sctr	1	120006894	120063536	1
ENSMUSG00000049823	Zbtb12	17	34879483	34896867	1
ENSMUSG00000003316	Glg1	8	111154421	111259216	-1
ENSMUSG00000109317	Gm45041	7	48796302	48799409	1
ENSMUSG00000026360	Rgs2	1	143999338	144004161	-1
ENSMUSG00000026556	Vangl2	1	172000960	172028444	-1
ENSMUSG00000030471	Zdhhc13	7	48789003	48827440	1
ENSMUSG00000020515	Cnot8	11	58104153	58118594	1
ENSMUSG00000082729	Gm14845	X	101691545	101691850	-1
ENSMUSG00000020810	Cygb	11	116645595	116654313	-1
ENSMUSG00000092511	Gm20547	17	34856412	34882042	-1
ENSMUSG00000020061	Mybpc1	10	88518279	88605152	-1
ENSMUSG00000022054	Nefm	14	68082590	68124846	-1
ENSMUSG00000023032	Slc4a8	15	100761747	100823968	1
ENSMUSG00000027355	Tmco5	2	116878691	116892494	1
ENSMUSG00000031696	Vps35	8	85260392	85299802	-1
ENSMUSG00000031782	Coq9	8	94838321	94854895	1
ENSMUSG00000102217	Gm37491	1	186347315	186348425	1
ENSMUSG00000106847	Peg13	15	72805600	72810324	-1
ENSMUSG00000103837	Gm37614	9	88826604	88826813	-1
ENSMUSG00000006315	Tmem147	7	30727701	30729540	-1
ENSMUSG00000096173	Gm3150	15	72913357	72913560	1
ENSMUSG00000022055	Nefl	14	68083863	68089095	1
ENSMUSG00000103690	A730004F24Rik	1	186511838	186558681	-1
ENSMUSG00000101698	Gm29562	9	88827522	88828425	1
ENSMUSG00000101098	Gm20808	Y	78761346	78762038	-1
ENSMUSG00000103285	Gm37274	2	156084610	156086291	-1
ENSMUSG00000109375	Gm44887	7	68598677	68598854	-1
ENSMUSG00000067847	Romo1	2	156144039	156145797	1
ENSMUSG00000024371	C2	17	34862604	34898265	-1
ENSMUSG00000094854	Gm5334	7	68618838	68619557	1
ENSMUSG00000038791	Scgb3a2	18	43764289	43767399	1
ENSMUSG00000034552	Zswim2	2	83915079	83941228	-1
ENSMUSG00000108876	Gm44692	7	68719170	68726467	-1
ENSMUSG00000087153	Gm6483	8	19682449	19697736	1
ENSMUSG00000032925	Itgbl1	14	123659971	123975618	1
ENSMUSG00000110531	RP24-366L10.1	8	19711128	19711705	-1
ENSMUSG00000085083	Gm11615	11	101264762	101266303	-1
ENSMUSG00000031095	Cul4b	X	38533274	38576196	-1
ENSMUSG00000089824	Rbm12	2	156091958	156111978	-1
ENSMUSG00000043529	Olfr266	3	106820760	106826287	-1
ENSMUSG00000009580	Odam	5	87885029	87894174	1
ENSMUSG00000086526	Gm12762	7	34230420	34234102	-1
ENSMUSG00000074398	Gm15441	3	96555765	96566801	-1
ENSMUSG00000085626	Gm12898	4	119223174	119224815	1
ENSMUSG00000031898	Dpep3	8	105973513	105979429	-1
ENSMUSG00000078584	AU022252	4	119203570	119232712	-1
ENSMUSG00000038393	Txnip	3	96557957	96561883	1
ENSMUSG00000105102	Gm35507	3	106827307	106879361	-1
ENSMUSG00000104951	Gm43413	5	123110696	123112261	1
ENSMUSG00000029449	Rhof	5	123103044	123132692	-1
ENSMUSG00000108376	Gm44874	7	126062906	126064447	-1
ENSMUSG00000046182	Gsg1l	7	125878420	126082411	-1
ENSMUSG00000031536	Polb	8	22628126	22653435	-1
ENSMUSG00000030427	Lilra6	7	3908280	3915503	-1
ENSMUSG00000104860	Gm42510	3	123685715	123687972	-1
ENSMUSG00000031901	Dus2	8	105991337	106053840	1
ENSMUSG00000105095	8430422M14Rik	3	35955436	35956257	-1
ENSMUSG00000111035	RP23-380A10.8	9	104001760	104002339	-1
ENSMUSG00000027709	Mccc1	3	35959312	36000678	-1
ENSMUSG00000014550	Rbsn	6	92186712	92214925	-1
ENSMUSG00000027667	Zfp639	3	32510259	32520833	1
ENSMUSG00000084968	Gm12743	4	108592425	108619849	-1
ENSMUSG00000069601	Ank3	10	69533772	70027438	1
ENSMUSG00000028587	Orc1	4	108579423	108614833	1
ENSMUSG00000085105	Gm12758	7	34234377	34240207	1
ENSMUSG00000024456	Diaph1	18	37843601	37935476	-1
ENSMUSG00000082793	Gm9308	14	123698390	123698603	-1
ENSMUSG00000111697	RP24-161L16.3	9	82249931	82260208	-1
ENSMUSG00000108737	BC060293	7	34250252	34251355	-1
ENSMUSG00000028642	4930538K18Rik	4	119205055	119218217	-1
ENSMUSG00000099266	1700063H06Rik	9	82260293	82263485	1
ENSMUSG00000101865	Gm9775	9	88856756	88857086	1
ENSMUSG00000057381	Tas2r123	6	132847142	132848143	1
ENSMUSG00000066571	4931406P16Rik	7	34236707	34313551	-1
ENSMUSG00000097177	9330159M07Rik	9	88840236	88858870	-1
ENSMUSG00000033379	Atp6v0b	4	117884326	117887333	-1
ENSMUSG00000006024	Napa	7	16098458	16117975	1
ENSMUSG00000103572	Gm37115	1	159235710	159238558	1
ENSMUSG00000030194	Tas2r116	6	132855438	132856355	1
ENSMUSG00000111136	RP24-84H10.14	9	38983148	38988315	-1
ENSMUSG00000050702	4930563M21Rik	9	55962589	56010550	-1
ENSMUSG00000057424	Olfr934	9	38981026	38988282	-1
ENSMUSG00000108257	Gm44251	6	129552007	129552448	-1
ENSMUSG00000107980	Gm44142	6	132860465	132860775	1
ENSMUSG00000040782	Rfwd2	1	159232320	159347640	1
ENSMUSG00000075088	Olfr1239	2	89417030	89420407	-1
ENSMUSG00000000983	Wfdc18	11	83709015	83711348	1
ENSMUSG00000025488	Cox8b	7	140898945	140900446	-1
ENSMUSG00000095128	Gm5709	3	59602455	59635733	-1
ENSMUSG00000108767	Gm29763	7	25792228	25792843	-1
ENSMUSG00000110457	RP24-248F14.2	8	105973097	105985879	1
ENSMUSG00000111174	Olfr1240	2	89436296	89443000	-1
ENSMUSG00000045538	Ddx28	8	106009621	106011882	-1
ENSMUSG00000067399	Trim43c	9	88839164	88848190	1
ENSMUSG00000074417	Gm14548	7	3884242	3898120	-1
ENSMUSG00000075086	Olfr1241	2	89481314	89487126	-1
ENSMUSG00000109628	BC024386	7	140906014	140907983	1
ENSMUSG00000018433	Nol11	11	107166663	107189381	-1
ENSMUSG00000089942	Pira2	7	3836812	3845051	-1
ENSMUSG00000094767	Gm8402	X	150083529	150085298	1
ENSMUSG00000108213	Gm44172	6	71451992	71458998	1
ENSMUSG00000040564	Apoc1	7	19689481	19692660	-1
ENSMUSG00000094176	Trav6d-6	14	52821922	52822359	1
ENSMUSG00000094739	Gm20806	Y	78835721	78838056	-1
ENSMUSG00000090231	Cfb	17	34856374	34862518	-1
ENSMUSG00000098090	2700099C18Rik	17	94750100	94775132	1
ENSMUSG00000092265	Gm5682	17	36210276	36211184	-1
ENSMUSG00000062952	Tas2r110	6	132868008	132869009	1
